Location,Language,Post,Name,Skills,Disability_Inclusive,Perks
Hyderabad,English,Financial Analyst,FinanceCraft Solutions,"Financial Analysis,Excel",Developmental,"Braille displays,Supportive colleagues,Flexible work hours"
Kolkata,Bengali,UX/UI Designer,PixelCraft Studios,"User Experience,User Interface Design",Musculoskeletal,"Flexible schedule,Professional development opportunities,Health and wellness programs"
Pune,Marathi,Network Engineer,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Vision aids,Supportive colleagues,Training programs"
Ahmedabad,Gujarati,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Non-visible,"Accessible facilities,Supportive colleagues,Flexible work hours"
Jaipur,Hindi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Sensory,"Hearing aids,Supportive colleagues,Professional development opportunities"
Lucknow,Hindi,Social Media Manager,SocialSphere Strategies,"Social Media Marketing,Content Creation",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Indore,Hindi,Customer Support Specialist,ServiceSolutions,"Customer Service,Problem Solving",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Bhopal,Hindi,Web Developer,WebCraft Technologies,"Web Development,Programming",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Ludhiana,Punjabi,Project Manager,ProjectPro Solutions,"Project Management,Team Leadership",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Kanpur,Hindi,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Developmental,"Braille displays,Supportive colleagues,Professional development opportunities"
Nagpur,Marathi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Ghaziabad,Hindi,Database Administrator,DBTech Solutions,"Database Management,SQL",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Agra,Hindi,Event Coordinator,CelebrationCraft Events,"Event Planning,Communication",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Faridabad,Hindi,IT Support Specialist,TechSupport Solutions,"Technical Support,Troubleshooting",Non-visible,"Accessible facilities,Supportive colleagues,Professional development opportunities"
Varanasi,Hindi,Architect,Blueprint Designs,"Architectural Design,AutoCAD",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Amritsar,Punjabi,Human Resources Coordinator,HRHub Services,"HR Administration,Recruitment",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Allahabad,Hindi,Content Strategist,ContentCraft Solutions,"Content Planning,SEO",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Vadodara,Gujarati,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Vision aids,Supportive colleagues,Professional development opportunities"
Gorakhpur,Hindi,Mobile App Developer,AppCraft Technologies,"Mobile App Development,Programming",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Bikaner,Rajasthani,Medical Transcriptionist,MediTranscribe Services,"Medical Terminology,Transcription Skills",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Salem,Tamil,Marketing Analyst,MarketInsight Analytics,"Market Research,Data Analysis",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Aligarh,Hindi,Quality Control Inspector,QualityCraft Manufacturing,"Quality Assurance,Inspection",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Warangal,Telugu,Personal Chef,CulinaryDelights,"Culinary Skills,Menu Planning",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Bhubaneswar,Odia,IT Project Manager,TechPro Solutions,"Project Management,Team Leadership",Non-visible,"Accessible facilities,Supportive colleagues,Professional development opportunities"
Cuttack,Odia,Medical Receptionist,HealthLink Clinics,"Appointment Scheduling,Customer Service",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Ajmer,Rajasthani,Photographer,PixelPerfect Photography,"Photography,Photo Editing",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Ujjain,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Jamnagar,Gujarati,Human Resources Specialist,HRHub Services,"HR Administration,Employee Relations",Developmental,"Braille displays,Supportive colleagues,Professional development opportunities"
Bokaro,Hindi,Plumber,FlowFix Plumbing,"Plumbing Repairs,Installation",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Nellore,Telugu,Software Developer,ByteCraft Solutions,"Java,Python,C++",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Jammu,Dogri,Marketing Coordinator,MarketPro Connect,"Marketing,Communication",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Belgaum,Kannada,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Developmental,"Braille displays,Supportive colleagues,Professional development opportunities"
Mangalore,Kannada,Financial Analyst,FinanceCraft Solutions,"Financial Analysis,Excel",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Tirunelveli,Tamil,UX/UI Designer,PixelCraft Studios,"User Experience,User Interface Design",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Malegaon,Marathi,Network Engineer,NetConnect Solutions,"Networking,Troubleshooting",Non-visible,"Accessible facilities,Supportive colleagues,Professional development opportunities"
Gaya,Hindi,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Jalgaon,Marathi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Developmental,"Braille displays,Supportive colleagues,Training programs"
Udaipur,Rajasthani,Social Media Manager,SocialSphere Strategies,"Social Media Marketing,Content Creation",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Maheshtala,Bengali,Customer Support Specialist,ServiceSolutions,"Customer Service,Problem Solving",Sensory,"Hearing aids,Supportive colleagues,Professional development opportunities"
Davanagere,Kannada,Web Developer,WebCraft Technologies,"Web Development,Programming",Non-visible,"Accessible facilities,Supportive colleagues,Flexible work hours"
Kozhikode,Malayalam,Project Manager,ProjectPro Solutions,"Project Management,Team Leadership",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Akola,Marathi,Database Administrator,DBTech Solutions,"Database Management,SQL",Sensory,"Vision aids,Supportive colleagues,Training programs"
Kurnool,Telugu,Event Coordinator,CelebrationCraft Events,"Event Planning,Communication",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Rajpur Sonarpur,Bengali,IT Support Specialist,TechSupport Solutions,"Technical Support,Troubleshooting",Sensory,"Hearing aids,Supportive colleagues,Flexible work hours"
Rourkela,Odia,Architect,Blueprint Designs,"Architectural Design,AutoCAD",Non-visible,"Accessible facilities,Supportive colleagues,Professional development opportunities"
Bokaro,Hindi,Human Resources Coordinator,HRHub Services,"HR Administration,Recruitment",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Ratlam,Hindi,Content Strategist,ContentCraft Solutions,"Content Planning,SEO",Sensory,"Vision aids,Supportive colleagues,Training programs"
Durgapur,Bengali,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Developmental,"Braille displays,Supportive colleagues,Professional development opportunities"
Rampur,Hindi,Mobile App Developer,AppCraft Technologies,"Mobile App Development,Programming",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Shyamnagar,Bengali,Medical Transcriptionist,MediTranscribe Services,"Medical Terminology,Transcription Skills",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Eluru,Telugu,Marketing Analyst,MarketInsight Analytics,"Market Research,Data Analysis",Developmental,"Braille displays,Supportive colleagues,Mentoring"
Navi Mumbai,Marathi,Quality Control Inspector,QualityCraft Manufacturing,"Quality Assurance,Inspection",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Parbhani,Marathi,Personal Chef,CulinaryDelights,"Culinary Skills,Menu Planning",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Rohtak,Hindi,IT Project Manager,TechPro Solutions,"Project Management,Team Leadership",Non-visible,"Accessible facilities,Supportive colleagues,Professional development opportunities"
Dindigul,Tamil,Medical Receptionist,HealthLink Clinics,"Appointment Scheduling,Customer Service",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Kamarhati,Bengali,Photographer,PixelPerfect Photography,"Photography,Photo Editing",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Bilaspur,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Shahjahanpur,Hindi,Human Resources Specialist,HRHub Services,"HR Administration,Employee Relations",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Satara,Marathi,Plumber,FlowFix Plumbing,"Plumbing Repairs,Installation",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Hardoi,Hindi,Software Developer,ByteCraft Solutions,"Java,Python,C++",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Sonipat,Hindi,Marketing Coordinator,MarketPro Connect,"Marketing,Communication",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Porbandar,Gujarati,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Developmental,"Braille displays,Supportive colleagues,Professional development opportunities"
Palakkad,Malayalam,Financial Analyst,FinanceCraft Solutions,"Financial Analysis,Excel",Musculoskeletal,"Flexible schedule,Health and wellness programs,Remote work options"
Anantapur,Telugu,UX/UI Designer,PixelCraft Studios,"User Experience,User Interface Design",Sensory,"Hearing aids,Supportive colleagues,Training programs"
Karimnagar,Telugu,Network Engineer,NetConnect Solutions,"Networking,Troubleshooting",Non-visible,"Accessible facilities,Supportive colleagues,Professional development opportunities"
Sagar,Hindi,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Sensory,"Vision aids,Supportive colleagues,Flexible work hours"
Mumbai,English,Financial Analyst,FinanceCraft Solutions,"Financial Analysis,Excel",Sensory,"Health insurance,Retirement benefits"
Delhi,Hindi,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Non-visible,"Flexible work hours,Professional development opportunities"
Bangalore,English,Software Developer,CodeCraft Solutions,"Java,Python,C++",Sensory,"Remote work options,Training programs"
Chennai,English,Marketing Manager,MarketPro Connect,"Marketing Strategy,Team Leadership",Developmental,"Flexible work hours,Health and wellness programs"
Hyderabad,English,HR Specialist,HRHub Services,"Employee Relations,Recruitment",Sensory,"Work from home options,Professional development opportunities"
Kolkata,English,Customer Support Manager,ServiceSolutions,"Customer Service Management,Problem Solving",Musculoskeletal,"Flexible work hours,Health insurance"
Pune,English,Project Manager,TechPro Solutions,"Project Management,Team Leadership",Sensory,"Remote work options,Professional development opportunities"
Ahmedabad,Hindi,Architect,Blueprint Designs,"Architectural Design,AutoCAD",Non-visible,"Flexible work hours,Health and wellness programs"
Jaipur,Hindi,Public Relations Specialist,MediaCraft Communications,"PR Strategy,Communication",Musculoskeletal,"Work from home options,Training programs"
Lucknow,Hindi,Legal Counsel,LegalEase Law Firm,"Legal Research,Contract Negotiation",Developmental,"Flexible work hours,Health insurance"
Nagpur,English,IT Consultant,TechInsight Consulting,"IT Strategy,Technical Consulting",Sensory,"Remote work options,Professional development opportunities"
Varanasi,Hindi,Event Coordinator,CelebrationCraft Events,"Event Planning,Communication",Musculoskeletal,"Flexible work hours,Health and wellness programs"
Indore,Hindi,Market Research Analyst,Insightful Research Solutions,"Market Research,Data Analysis",Sensory,"Work from home options,Training programs"
Agra,Hindi,Social Media Manager,SocialSphere Strategies,"Social Media Marketing,Content Creation",Developmental,"Flexible work hours,Health insurance"
Dehradun,English,Customer Success Specialist,ServiceSuccess Solutions,"Customer Support,Problem Solving",Sensory,"Remote work options,Professional development opportunities"
Bhopal,Hindi,Graphic Artist,ArtistryHub Designs,"Digital Illustration,Adobe Creative Suite",Non-visible,"Flexible work hours,Health and wellness programs"
Patna,Hindi,Civil Engineer,ConstructPro Engineering,"Civil Engineering,Project Management",Musculoskeletal,"Work from home options,Training programs"
Ranchi,Hindi,Public Health Analyst,HealthInsight Solutions,"Public Health Research,Data Analysis",Sensory,"Flexible work hours,Health insurance"
Coimbatore,English,IT Support Specialist,TechHelp Services,"Technical Support,Troubleshooting",Developmental,"Remote work options,Professional development opportunities"
Guwahati,English,Content Strategist,ContentCraft Solutions,"Content Planning,SEO",Sensory,"Flexible work hours,Health and wellness programs"
Kanpur,Hindi,Finance Manager,FinancePro Solutions,"Financial Management,Team Leadership",Non-visible,"Work from home options,Training programs"
Gwalior,Hindi,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Musculoskeletal,"Flexible work hours,Health insurance"
Madurai,English,UX/UI Designer,PixelCraft Studios,"User Experience,User Interface Design",Sensory,"Remote work options,Professional development opportunities"
Ludhiana,Hindi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Developmental,"Flexible work hours,Health and wellness programs"
Jamshedpur,Hindi,Database Administrator,DBTech Solutions,"Database Management,SQL",Sensory,"Work from home options,Training programs"
Vadodara,English,Supply Chain Analyst,LogisticsLink Services,"Supply Chain Management,Data Analysis",Non-visible,"Flexible work hours,Health and wellness programs"
Faridabad,Hindi,Human Resources Coordinator,HRHub Services,"HR Administration,Recruitment",Musculoskeletal,"Remote work options,Professional development opportunities"
Meerut,Hindi,Web Developer,WebCraft Technologies,"Web Development,HTML,CSS,JavaScript",Sensory,"Flexible work hours,Health insurance"
Noida,Hindi,Marketing Coordinator,MarketPro Connect,"Marketing,Communication",Developmental,"Work from home options,Training programs"
Jodhpur,Hindi,Quality Control Analyst,QualityCraft Manufacturing,"Quality Assurance,Inspection",Sensory,"Flexible work hours,Health and wellness programs"
Raipur,Hindi,IT Project Manager,TechPro Solutions,"Project Management,Team Leadership",Non-visible,"Remote work options,Professional development opportunities"
Kota,Hindi,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible work hours,Health insurance"
Kochi,English,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Sensory,"Work from home options,Training programs"
Bhubaneswar,English,Personal Trainer,FitnessFiesta Gym,"Fitness Training,Nutrition Counseling",Developmental,"Flexible work hours,Health and wellness programs"
Thiruvananthapuram,English,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Sensory,"Remote work options,Professional development opportunities"
Thrissur,English,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Non-visible,"Flexible work hours,Health and wellness programs"
Malappuram,English,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Work from home options,Training programs"
Kannur,English,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Developmental,"Flexible work hours,Health insurance"
Kollam,English,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Sensory,"Remote work options,Professional development opportunities"
Purulia,Hindi,Financial Advisor,FinanceCraft Solutions,"Financial Planning,Investment Strategies",Non-visible,"Flexible work hours,Health and wellness programs"
Bankura,Hindi,HR Specialist,HRHub Services,"Employee Relations,Recruitment",Musculoskeletal,"Work from home options,Training programs"
Bardhaman,Hindi,Marketing Manager,MarketPro Connect,"Marketing Strategy,Team Leadership",Sensory,"Flexible work hours,Health insurance"
Haldia,Hindi,Legal Counsel,LegalEase Law Firm,"Legal Research,Contract Negotiation",Developmental,"Remote work options,Professional development opportunities"
Kharagpur,Hindi,IT Consultant,TechInsight Consulting,"IT Strategy,Technical Consulting",Sensory,"Flexible work hours,Health and wellness programs"
Raniganj,Hindi,Event Coordinator,CelebrationCraft Events,"Event Planning,Communication",Non-visible,"Work from home options,Training programs"
Alipurduar,Hindi,Market Research Analyst,Insightful Research Solutions,"Market Research,Data Analysis",Musculoskeletal,"Flexible work hours,Health insurance"
Bally,Hindi,Social Media Manager,SocialSphere Strategies,"Social Media Marketing,Content Creation",Sensory,"Remote work options,Professional development opportunities"
Baharampur,Hindi,Project Manager,TechPro Solutions,"Project Management,Team Leadership",Developmental,"Flexible work hours,Health and wellness programs"
Kamarhati,Hindi,Civil Engineer,ConstructPro Engineering,"Civil Engineering,Project Management",Sensory,"Work from home options,Training programs"
Panihati,Hindi,Public Health Analyst,HealthInsight Solutions,"Public Health Research,Data Analysis",Non-visible,"Flexible work hours,Health and wellness programs"
Barrackpore,Hindi,Graphic Artist,ArtistryHub Designs,"Digital Illustration,Adobe Creative Suite",Musculoskeletal,"Remote work options,Professional development opportunities"
Durgapur,Hindi,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Flexible work hours,Health insurance"
English Bazar,English,UX/UI Designer,PixelCraft Studios,"User Experience,User Interface Design",Developmental,"Work from home options,Training programs"
Haldia,Hindi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Sensory,"Flexible work hours,Health and wellness programs"
Baharampur,Hindi,Database Administrator,DBTech Solutions,"Database Management,SQL",Non-visible,"Remote work options,Professional development opportunities"
Krishnanagar,Hindi,Human Resources Coordinator,HRHub Services,"HR Administration,Recruitment",Musculoskeletal,"Flexible work hours,Health insurance"
Khardaha,Hindi,Web Developer,WebCraft Technologies,"Web Development,HTML,CSS,JavaScript",Sensory,"Remote work options,Professional development opportunities"
Joynagar Majilpur,Hindi,Marketing Coordinator,MarketPro Connect,"Marketing,Communication",Developmental,"Flexible work hours,Health and wellness programs"
English Bazar,English,Quality Control Analyst,QualityCraft Manufacturing,"Quality Assurance,Inspection",Sensory,"Work from home options,Training programs"
Habra,Hindi,IT Project Manager,TechPro Solutions,"Project Management,Team Leadership",Non-visible,"Flexible work hours,Health and wellness programs"
Bhadreswar,Hindi,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Remote work options,Professional development opportunities"
Champdani,Hindi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Sensory,"Flexible work hours,Health insurance"
Barasat,Hindi,Personal Trainer,FitnessFiesta Gym,"Fitness Training,Nutrition Counseling",Developmental,"Work from home options,Training programs"
Uluberia,Hindi,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Sensory,"Flexible work hours,Health and wellness programs"
Basirhat,Hindi,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Non-visible,"Remote work options,Professional development opportunities"
Madhyamgram,Hindi,Software Developer,ByteCraft Solutions,"Java,Python,C++",Sensory,"Flexible work hours,Health insurance"
Bangaon,Hindi,Data Scientist,DataInsights Analytics,"Machine Learning,Python,R,Data Analysis",Developmental,"Remote work options,Professional development opportunities"
Shantipur,Hindi,Graphic Designer,DesignCraft Creations,"Adobe Creative Suite,Typography",Sensory,"Flexible work hours,Health and wellness programs"
Barrackpore,Hindi,Financial Advisor,FinanceCraft Solutions,"Financial Planning,Investment Strategies",Non-visible,"Work from home options,Training programs"
Naihati,Hindi,HR Specialist,HRHub Services,"Employee Relations,Recruitment",Musculoskeletal,"Flexible work hours,Health insurance"
Serampore,Hindi,Marketing Manager,MarketPro Connect,"Marketing Strategy,Team Leadership",Sensory,"Remote work options,Professional development opportunities"
Bhatpara,Hindi,Legal Counsel,LegalEase Law Firm,"Legal Research,Contract Negotiation",Developmental,"Flexible work hours,Health and wellness programs"
South Dum Dum,Hindi,IT Consultant,TechInsight Consulting,"IT Strategy,Technical Consulting",Sensory,"Work from home options,Training programs"
North Dumdum,Hindi,Event Coordinator,CelebrationCraft Events,"Event Planning,Communication",Non-visible,"Flexible work hours,Health insurance"
Baranagar,Hindi,Market Research Analyst,Insightful Research Solutions,"Market Research,Data Analysis",Musculoskeletal,"Remote work options,Professional development opportunities"
Dum Dum,English,Social Media Manager,SocialSphere Strategies,"Social Media Marketing,Content Creation",Sensory,"Flexible work hours,Health and wellness programs"
Asansol,Hindi,Project Manager,TechPro Solutions,"Project Management,Team Leadership",Developmental,"Work from home options,Training programs"
Siliguri,Hindi,Civil Engineer,ConstructPro Engineering,"Civil Engineering,Project Management",Sensory,"Flexible work hours,Health insurance"
Maheshtala,Hindi,Public Health Analyst,HealthInsight Solutions,"Public Health Research,Data Analysis",Non-visible,"Remote work options,Professional development opportunities"
South Dumdum,Hindi,Graphic Artist,ArtistryHub Designs,"Digital Illustration,Adobe Creative Suite",Musculoskeletal,"Flexible work hours,Health and wellness programs"
Gopalpur,English,Network Administrator,NetConnect Solutions,"Networking,Troubleshooting",Sensory,"Remote work options,Professional development opportunities"
New Barrackpore,English,UX/UI Designer,PixelCraft Studios,"User Experience,User Interface Design",Developmental,"Flexible work hours,Health insurance"
Bidhannagar,Hindi,Sales Executive,SalesPro Connect,"Business Development,Client Relationship,Communication",Sensory,"Work from home options,Training programs"
North Barrackpur,Hindi,Database Administrator,DBTech Solutions,"Database Management,SQL",Non-visible,"Flexible work hours,Health and wellness programs"
North Dumdum,Hindi,Human Resources Coordinator,HRHub Services,"HR Administration,Recruitment",Musculoskeletal,"Remote work options,Professional development opportunities"
North Dumdum,Hindi,Web Developer,WebCraft Technologies,"Web Development,HTML,CSS,JavaScript",Sensory,"Flexible work hours,Health insurance"
South Dum Dum,Hindi,Marketing Coordinator,MarketPro Connect,"Marketing,Communication",Developmental,"Work from home options,Training programs"
South Dum Dum,Hindi,Quality Control Analyst,QualityCraft Manufacturing,"Quality Assurance,Inspection",Sensory,"Flexible work hours,Health and wellness programs"
South Dum Dum,English,IT Project Manager,TechPro Solutions,"Project Management,Team Leadership",Non-visible,"Remote work options,Professional development opportunities"
Barrackpore,Hindi,Content Writer,WordCraft Media,"Creative Writing,Blogging,SEO",Musculoskeletal,"Flexible work hours,Health insurance"
Baranagar,Hindi,Software Tester,QualityTest Solutions,"Manual Testing,Defect Tracking",Sensory,"Work from home options,Training programs"
Naihati,Hindi,Personal Trainer,FitnessFiesta Gym,"Fitness Training,Nutrition Counseling",Developmental,"Flexible work hours,Health and wellness programs"
Kolkata,Hindi,Language Interpreter,LocalLingo Services,"Language Translation,Interpretation",Sensory,"Remote work options,Professional development opportunities"
Barrackpore,Hindi,Interior Designer,SpaceCraft Interiors,"Space Planning,Color Theory,Furniture Selection",Non-visible,"Flexible work hours,Health and wellness programs"
